simFrame,simTime,id_0,lateralDist_0,type_0,color_0,id_1,lateralDist_1,type_1,color_1,id_2,lateralDist_2,type_2,color_2,id_3,lateralDist_3,type_3,color_3,id_4,lateralDist_4,type_4,color_4,id_5,lateralDist_5,type_5,color_5,id_6,lateralDist_6,type_6,color_6,id_7,lateralDist_7,type_7,color_7,id_8,lateralDist_8,type_8,color_8,id_9,lateralDist_9,type_9,color_9,id_10,lateralDist_10,type_10,color_10,id_11,lateralDist_11,type_11,color_11,id_12,lateralDist_12,type_12,color_12,id_13,lateralDist_13,type_13,color_13
3764,+3.7629999158903956e+01,0,+1.9732201099395752e+00,                      2,                      1,1.0,+3.7794147491455078e+01,                      2,                      1,2.0,-1.4017798900604248e+00,                      1,                      1,3.0,-44.33385467529297,2.0,1.0,4.0,5.040545463562012,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.989784240722656,1.0,1.0,7.0,-46.58702087402344,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3765,+3.7639999158680439e+01,0,+1.9732815027236938e+00,                      2,                      1,1.0,+3.7452529907226562e+01,                      2,                      1,2.0,-1.4017184972763062e+00,                      1,                      1,3.0,-44.28160095214844,2.0,1.0,4.0,5.040487766265869,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.93894577026367,1.0,1.0,7.0,-46.528263092041016,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3766,+3.7649999158456922e+01,0,+1.9733432531356812e+00,                      2,                      1,1.0,+3.7110523223876953e+01,                      2,                      1,2.0,-1.4016567468643188e+00,                      1,                      1,3.0,-44.2292594909668,2.0,1.0,4.0,5.040430545806885,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.88801956176758,1.0,1.0,7.0,-46.46944427490234,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3767,+3.7659999158233404e+01,0,+1.9734048843383789e+00,                      2,                      1,1.0,+3.6768135070800781e+01,                      2,                      1,2.0,-1.4015951156616211e+00,                      1,                      1,3.0,-44.17683029174805,2.0,1.0,4.0,5.0403733253479,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.83700942993164,1.0,1.0,7.0,-46.41056823730469,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3768,+3.7669999158009887e+01,0,+1.9734658002853394e+00,                      2,                      1,1.0,+3.6425361633300781e+01,                      2,                      1,2.0,-1.4015341997146606e+00,                      1,                      1,3.0,-44.12431335449219,2.0,1.0,4.0,5.0403151512146,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.785911560058594,1.0,1.0,7.0,-46.35163116455078,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3769,+3.7679999157786369e+01,0,+1.9735264778137207e+00,                      2,                      1,1.0,+3.6082210540771484e+01,                      2,                      1,2.0,-1.4014735221862793e+00,                      1,                      1,3.0,-44.07170867919922,2.0,1.0,4.0,5.040256977081299,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.73472595214844,1.0,1.0,7.0,-46.29264068603516,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3770,+3.7689999157562852e+01,0,+1.9735873937606812e+00,                      2,                      1,1.0,+3.5738677978515625e+01,                      2,                      1,2.0,-1.4014126062393188e+00,                      1,                      1,3.0,-44.01901626586913,2.0,1.0,4.0,5.040199279785156,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.68345642089844,1.0,1.0,7.0,-46.23358917236328,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3771,+3.7699999157339334e+01,0,+1.9736483097076416e+00,                      2,                      1,1.0,+3.5394767761230469e+01,                      2,                      1,2.0,-1.4013516902923584e+00,                      1,                      1,3.0,-43.96623992919922,2.0,1.0,4.0,5.040141582489014,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.632102966308594,1.0,1.0,7.0,-46.174480438232415,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3772,+3.7709999157115817e+01,0,+1.9737085103988647e+00,                      2,                      1,1.0,+3.5050479888916016e+01,                      2,                      1,2.0,-1.4012914896011353e+00,                      1,                      1,3.0,-43.91337203979492,2.0,1.0,4.0,5.040082931518555,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.58066177368164,1.0,1.0,7.0,-46.11531448364258,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
3773,+3.7719999156892300e+01,0,+1.9737685918807983e+00,                      2,                      1,1.0,+3.4705818176269531e+01,                      2,                      1,2.0,-1.4012314081192017e+00,                      1,                      1,3.0,-43.86042404174805,2.0,1.0,4.0,5.040024757385254,1.0,3.0,-99.99,-99.99,-99.99,-99.99,6.0,-45.52913665771485,1.0,1.0,7.0,-46.05608749389648,1.0,1.0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
