                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,               playerId,              lightMask,               steering,    steeringWheelTorque,
+2.0719999536871910e+01,                   2073,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5439038936193583e-16,+0.0000000000000000e+00,                      3,                  0x400,+5.2735593669694936e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2620113287731272e-15,+0.0000000000000000e+00,
+2.0729999536648393e+01,                   2074,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-4.3368086899420177e-18,+0.0000000000000000e+00,                      3,                  0x400,-2.1510571102112408e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5395670849294163e-15,+0.0000000000000000e+00,
+2.0739999536424875e+01,                   2075,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5178830414797062e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1076890233118206e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2195106036116954e-15,+0.0000000000000000e+00,
+2.0749999536201358e+01,                   2076,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+4.4495657158805102e-16,+0.0000000000000000e+00,                      3,                  0x400,+5.2562121322097255e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4970663597679845e-15,+0.0000000000000000e+00,
+2.0759999535977840e+01,                   2077,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.8189256484623115e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.7556763254897874e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0304257447302234e-15,+0.0000000000000000e+00,
+2.0769999535754323e+01,                   2078,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.9949319973733282e-17,+0.0000000000000000e+00,                      3,                  0x400,-2.2377932840100812e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4510961876545991e-15,+0.0000000000000000e+00,
+2.0779999535530806e+01,                   2079,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.3617579286417936e-16,+0.0000000000000000e+00,                      3,                  0x400,-8.1098322501915732e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5838025335668249e-15,+0.0000000000000000e+00,
+2.0789999535307288e+01,                   2080,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.1051550219984847e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0469737016526324e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2637460522491040e-15,+0.0000000000000000e+00,
+2.0799999535083771e+01,                   2081,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.3877787807814457e-16,+0.0000000000000000e+00,                      3,                  0x400,-6.0715321659188248e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3929829512093761e-15,+0.0000000000000000e+00,
+2.0809999534860253e+01,                   2082,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.5959455978986625e-16,+0.0000000000000000e+00,                      3,                  0x400,+2.5240226575462543e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0746611933676320e-15,+0.0000000000000000e+00,
+2.0819999534636736e+01,                   2083,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-8.6736173798840355e-19,+0.0000000000000000e+00,                      3,                  0x400,-2.0469737016526324e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3548190347378863e-15,+0.0000000000000000e+00,
+2.0829999534413218e+01,                   2084,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.5699247457590104e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.9118014383277000e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.6297727056802103e-15,+0.0000000000000000e+00,
+2.0839999534189701e+01,                   2085,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-4.5102810375396984e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0816681711721685e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1605300054284839e-15,+0.0000000000000000e+00,
+2.0849999533966184e+01,                   2086,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4658413372004020e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0469737016526324e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+9.8619029609281483e-16,+0.0000000000000000e+00,
+2.0859999533742666e+01,                   2087,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5178830414797062e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.9118014383277000e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2680828609390460e-15,+0.0000000000000000e+00,
+2.0869999533519149e+01,                   2088,                      1,                      0,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4658413372004020e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.8424124992886277e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4042586538032253e-15,+0.0000000000000000e+00,
+2.0879999533295631e+01,                   2089,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.0010716134398763e-16,+0.0000000000000000e+00,                      3,                  0x400,-3.5475095083725705e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.8188575645616822e-15,+0.0000000000000000e+00,
+2.0889999533072114e+01,                   2090,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.3877787807814457e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0903417885520525e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3470127790959907e-15,+0.0000000000000000e+00,
+2.0899999532848597e+01,                   2091,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-2.9230090570209200e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.8684333514282798e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4823212102221817e-15,+0.0000000000000000e+00,
+2.0909999532625079e+01,                   2092,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.6479873021779667e-17,+0.0000000000000000e+00,                      3,                  0x400,-2.1250362580715887e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1639994523804376e-15,+0.0000000000000000e+00,
+2.0919999532401562e+01,                   2093,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.3097162243624894e-16,+0.0000000000000000e+00,                      3,                  0x400,+2.4372864837474140e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5820678100908481e-15,+0.0000000000000000e+00,
+2.0929999532178044e+01,                   2094,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.1571967262777889e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1337098754514727e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1136924715771102e-15,+0.0000000000000000e+00,
+2.0939999531954527e+01,                   2095,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.5439038936193583e-16,+0.0000000000000000e+00,                      3,                  0x400,+2.4286128663675299e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3921155894713877e-15,+0.0000000000000000e+00,
+2.0949999531731009e+01,                   2096,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4398204850607499e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.3725747729014302e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5265566588595902e-15,+0.0000000000000000e+00,
+2.0959999531507492e+01,                   2097,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.0270924655795284e-16,+0.0000000000000000e+00,                      3,                  0x400,-8.0404433111525009e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3470127790959907e-15,+0.0000000000000000e+00,
+2.0969999531283975e+01,                   2098,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+5.9327542878406803e-16,+0.0000000000000000e+00,                      3,                  0x400,-1.9775847626135601e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3340023530261647e-15,+0.0000000000000000e+00,
+2.0979999531060457e+01,                   2099,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.8709673527416157e-16,+0.0000000000000000e+00,                      3,                  0x400,+2.5847379792054426e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1570605584765303e-15,+0.0000000000000000e+00,
+2.0989999530836940e+01,                   2100,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4745149545802860e-17,+0.0000000000000000e+00,                      3,                  0x400,+3.9378222904673521e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2958384365546749e-15,+0.0000000000000000e+00,
+2.0999999530613422e+01,                   2101,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.8189256484623115e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0556473190325164e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1197640037430290e-15,+0.0000000000000000e+00,
+2.1009999530389905e+01,                   2102,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.9949319973733282e-17,+0.0000000000000000e+00,                      3,                  0x400,+5.3082538364890297e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+9.7057778480902357e-16,+0.0000000000000000e+00,
+2.1019999530166388e+01,                   2103,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.7668839441830073e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.1123662515049091e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5317608292875207e-15,+0.0000000000000000e+00,
+2.1029999529942870e+01,                   2104,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.7260498585969231e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.0256300777060687e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.6644671751997464e-15,+0.0000000000000000e+00,
+2.1039999529719353e+01,                   2105,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.2576745200831851e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0990154059319366e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3435433321440371e-15,+0.0000000000000000e+00,
+2.1049999529495835e+01,                   2106,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.7260498585969231e-16,+0.0000000000000000e+00,                      3,                  0x400,+5.2648857495896095e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0260889360402814e-15,+0.0000000000000000e+00,
+2.1059999529272318e+01,                   2107,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-4.6664061503776111e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.5460471204991109e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2993078835066285e-15,+0.0000000000000000e+00,
+2.1069999529048800e+01,                   2108,                      1,                   0x40,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4745149545802860e-17,+0.0000000000000000e+00,                      3,                  0x400,-2.1423834928313568e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4346163146328195e-15,+0.0000000000000000e+00,
+2.1079999528825283e+01,                   2109,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+2.8189256484623115e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.0256300777060687e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2576745200831851e-15,+0.0000000000000000e+00,
+2.1089999528601766e+01,                   2110,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.9949319973733282e-17,+0.0000000000000000e+00,                      3,                  0x400,-2.0990154059319366e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3938503129473645e-15,+0.0000000000000000e+00,
+2.1099999528378248e+01,                   2111,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.1571967262777889e-16,+0.0000000000000000e+00,                      3,                  0x400,-6.5919492087118670e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.0685896612017132e-15,+0.0000000000000000e+00,
+2.1109999528154731e+01,                   2112,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4745149545802860e-17,+0.0000000000000000e+00,                      3,                  0x400,-6.5052130349130266e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2082349010178461e-15,+0.0000000000000000e+00,
+2.1119999527931213e+01,                   2113,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+1.4137996329210978e-16,+0.0000000000000000e+00,                      3,                  0x400,+5.2822329843493776e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4857906571741353e-15,+0.0000000000000000e+00,
+2.1129999527707696e+01,                   2114,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.5699247457590104e-16,+0.0000000000000000e+00,                      3,                  0x400,-7.3725747729014302e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.1674688993323912e-15,+0.0000000000000000e+00,
+2.1139999527484179e+01,                   2115,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.1051550219984847e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1250362580715887e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.4450246554886803e-15,+0.0000000000000000e+00,
+2.1149999527260661e+01,                   2116,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-1.4918621893400541e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.0903417885520525e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+9.7838404045091920e-16,+0.0000000000000000e+00,
+2.1159999527037144e+01,                   2117,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-3.0270924655795284e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.8684333514282798e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.2594092435591620e-15,+0.0000000000000000e+00,
+2.1169999526813626e+01,                   2118,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-5.9327542878406803e-16,+0.0000000000000000e+00,                      3,                  0x400,-2.1250362580715887e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.5369649997154511e-15,+0.0000000000000000e+00,
+2.1179999526590109e+01,                   2119,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,-2.7929047963226594e-16,+0.0000000000000000e+00,                      3,                  0x400,-6.8521577301083880e-17,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3574211199518516e-15,+0.0000000000000000e+00,
+2.1189999526366591e+01,                   2120,                      1,                 0x8040,+0.0000000000000000e+00,+0.0000000000000000e+00,                      2,                  0x400,+3.1051550219984847e-16,+0.0000000000000000e+00,                      3,                  0x400,+3.8424124992886277e-16,+0.0000000000000000e+00,                      4,                  0x400,+0.0000000000000000e+00,+0.0000000000000000e+00,                      5,                  0x400,+1.3444106938820255e-15,+0.0000000000000000e+00,
