                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+1.8849999578669667e+01,                   1886,                      2,                      1,                     -1,                    0x1,+1.8600306701660156e+02,-1.8750000000000000e+00,+5.2313708920337376e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-5.0051980252426549e-19,                      0,+1.8600306701660156e+02,                      1,                      1,                     -1,                    0x1,+1.1305553436279297e+02,-1.8629872798919678e+00,+1.2012683786451817e-02,-8.3639723015949130e-04,+1.0933772427961230e-03,-1.3650367691298015e-05,                      0,+1.1305553436279297e+02,
+1.8859999578446150e+01,                   1887,                      2,                      1,                     -1,                    0x1,+1.8610029602050781e+02,-1.8750000000000000e+00,-3.1075142459258132e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,-5.0051980252426549e-19,                      0,+1.8610029602050781e+02,                      1,                      1,                     -1,                    0x1,+1.1314572906494141e+02,-1.8629086017608643e+00,+1.2091382406651974e-02,-8.3790597273036838e-04,+1.0835772845894098e-03,-1.3120953553880099e-05,                      0,+1.1314572906494141e+02,
+1.8869999578222632e+01,                   1888,                      2,                      1,                     -1,                    0x1,+1.8619752502441406e+02,-1.8750000000000000e+00,-3.2507330161024584e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,-5.0051980252426549e-19,                      0,+1.8619752502441406e+02,                      1,                      1,                     -1,                    0x1,+1.1323597717285156e+02,-1.8628292083740234e+00,+1.2170840054750443e-02,-8.3934067515656352e-04,+1.0768666397780180e-03,-1.3872904673917219e-05,                      0,+1.1323597717285156e+02,
+1.8879999577999115e+01,                   1889,                      2,                      1,                     -1,                    0x1,+1.8629473876953125e+02,-1.8750000000000000e+00,+6.8012262488537090e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,+6.0062374234960328e-18,                      0,+1.8629473876953125e+02,                      1,                      1,                     -1,                    0x1,+1.1332627105712891e+02,-1.8627494573593140e+00,+1.2250565923750401e-02,-8.4096257342025638e-04,+1.0728609049692750e-03,-1.4360432032844983e-05,                      0,+1.1332627105712891e+02,
+1.8889999577775598e+01,                   1890,                      2,                      1,                     -1,                    0x1,+1.8639196777343750e+02,-1.8750000000000000e+00,-8.6330942394852173e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-1.2298486605852688e-17,                      0,+1.8639196777343750e+02,                      1,                      1,                     -1,                    0x1,+1.1341661834716797e+02,-1.8626698255538940e+00,+1.2330177240073681e-02,-8.4291113307699561e-04,+1.0710792848840356e-03,-1.3552269592764787e-05,                      0,+1.1341661834716797e+02,
+1.8899999577552080e+01,                   1891,                      2,                      1,                     -1,                    0x1,+1.8648918151855469e+02,-1.8750000000000000e+00,-2.9336533202695136e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,+6.1492433029263441e-18,                      0,+1.8648918151855469e+02,                      1,                      1,                     -1,                    0x1,+1.1350701141357422e+02,-1.8625897169113159e+00,+1.2410248629748821e-02,-8.4500381490215659e-04,+1.0709619382396340e-03,-1.2974760466022417e-05,                      0,+1.1350701141357422e+02,
+1.8909999577328563e+01,                   1892,                      2,                      1,                     -1,                    0x1,+1.8658641052246094e+02,-1.8750000000000000e+00,-4.6762593797211593e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-1.2155481140012683e-17,                      0,+1.8658641052246094e+02,                      1,                      1,                     -1,                    0x1,+1.1359745788574219e+02,-1.8625090122222900e+00,+1.2491037137806416e-02,-8.4694515680894256e-04,+1.0718695120885968e-03,-1.3715657587454189e-05,                      0,+1.1359745788574219e+02,
+1.8919999577105045e+01,                   1893,                      2,                      1,                     -1,                    0x1,+1.8668362426757812e+02,-1.8750000000000000e+00,-2.7595703500082891e-12,+3.9719338928989600e-11,-0.0000000000000000e+00,+1.0796927146581103e-17,                      0,+1.8668362426757812e+02,                      1,                      1,                     -1,                    0x1,+1.1368795013427734e+02,-1.8624284267425537e+00,+1.2571611441671848e-02,-8.4857986075803638e-04,+1.0732747614383698e-03,-1.4250899766921066e-05,                      0,+1.1368795013427734e+02,
+1.8929999576881528e+01,                   1894,                      2,                      1,                     -1,                    0x1,+1.8678085327148438e+02,-1.8750000000000000e+00,-5.0537352080937126e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,-1.4086056996804283e-17,                      0,+1.8678085327148438e+02,                      1,                      1,                     -1,                    0x1,+1.1377849578857422e+02,-1.8623484373092651e+00,+1.2651534751057625e-02,-8.5006997687742114e-04,+1.0746329789981246e-03,-1.3448709069052711e-05,                      0,+1.1377849578857422e+02,
+1.8939999576658010e+01,                   1895,                      2,                      1,                     -1,                    0x1,+1.8687806701660156e+02,-1.8750000000000000e+00,-8.9128704416907567e-13,+3.9719338928989600e-11,-0.0000000000000000e+00,+1.3442531986933954e-17,                      0,+1.8687806701660156e+02,                      1,                      1,                     -1,                    0x1,+1.1386908721923828e+02,-1.8622683286666870e+00,+1.2731695547699928e-02,-8.5157522698864341e-04,+1.0747612686827779e-03,-1.2783510101144202e-05,                      0,+1.1386908721923828e+02,
